"plant_name","image_url"
"Agave americana","https://www.calflora.org/app/up/entry/272/81629.jpg"
"Narcissus tazetta","https://www.calflora.org/app/up/gp/43/8766.jpg"
"Toxicodendron diversilobum","https://www.calflora.org/app/up/entry/171/51584.jpg"
"Daucus carota","https://www.calflora.org/app/up/entry/563/169038.jpg"
"Hedera helix","https://www.calflora.org/app/up/io/72/io21668-0.jpg"
"Echium vulgare","https://www.calflora.org/app/up/entry/633/190118.jpg"
"Chenopodium album","https://www.calflora.org/app/up/entry/460/138085.jpg"
"Euphorbia pulcherrima","https://calphotos.berkeley.edu/imgs/512x768/4444_4444/0510/0996.jpeg"
"Ricinus communis","https://www.calflora.org/app/up/io/0/io295-0.jpg"
"Ginkgo biloba","https://calphotos.berkeley.edu/imgs/512x768/0000_0000/0105/1878.jpeg"
"Hypericum perforatum","https://www.calflora.org/app/up/entry/224/67406.jpg"
"Hyacinthus orientalis","https://www.calflora.org/app/up/mg/532/mg159682-0.jpg"
"Anemone tuberosa","https://www.calflora.org/app/up/entry/158/47569.jpg"
"Clematis vitalba","https://www.calflora.org/app/up/mg/12/3717.jpg"
"Urtica dioica","https://www.calflora.org/app/up/entry/367/110221.jpg"
"Urtica dioica","https://www.calflora.org/app/up/cbo/313/93992.jpg"
"Urtica dioica","https://www.calflora.org/app/up/mg/386/mg115948-2.jpg"
"Urtica dioica","https://www.calflora.org/app/up/entry/367/110219.jpg"
"Parthenocissus quinquefolia","https://www.calflora.org/app/up/cbo/16/3385.jpg"
